dataset,multiclass,smoke,n_full,n_used,subsampled,split_type,seed,k,model,accuracy,auroc,f1,n_train,n_test,pos_frac_train,pos_frac_test,target_test_frac
human_enhancers_cohn,False,False,27791,20000,True,homology@0.7,1,6,LR,0.7404,0.81701008,0.7378836833602584,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,homology@0.7,1,6,RF,0.698,0.77274936,0.6905737704918032,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,homology@0.7,2,4,LR,0.737,0.8183443199999999,0.7312487226650317,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,homology@0.7,2,4,RF,0.7166,0.7935401599999999,0.7162026837572602,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,homology@0.7,2,6,LR,0.7434,0.81887584,0.7393865529148893,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,homology@0.7,2,6,RF,0.701,0.7769368,0.6944614755773554,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,homology@0.9,0,4,LR,0.7284,0.8095979200000001,0.7236467236467237,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,homology@0.9,0,4,RF,0.7114,0.78978848,0.7074802351510238,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,homology@0.9,0,6,LR,0.743,0.8143952,0.736949846468782,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,homology@0.9,0,6,RF,0.6962,0.7761646400000001,0.6896833503575076,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,homology@0.9,1,4,LR,0.7426,0.8155038400000001,0.7355660571193754,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,homology@0.9,1,4,RF,0.7018,0.78471576,0.6990918264379414,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,homology@0.9,1,6,LR,0.7408,0.8197406399999999,0.7364782431882879,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,homology@0.9,1,6,RF,0.6916,0.77132736,0.6802156781418498,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,homology@0.9,2,4,LR,0.7318,0.81290816,0.728707262795873,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,homology@0.9,2,4,RF,0.7164,0.79466984,0.7143432715551974,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,homology@0.9,2,6,LR,0.7328,0.81395472,0.7279022403258656,15000,5000,0.5,0.5,0.25
human_enhancers_cohn,False,False,27791,20000,True,homology@0.9,2,6,RF,0.6984,0.78008824,0.6914893617021277,15000,5000,0.5,0.5,0.25
human_enhancers_ensembl,False,False,154842,20000,True,original,-1,4,LR,0.72575,0.7912338750000001,0.7298694902733317,16000,4000,0.5,0.5,0.2
human_enhancers_ensembl,False,False,154842,20000,True,original,-1,4,RF,0.71675,0.793409875,0.7199011124845488,16000,4000,0.5,0.5,0.2
human_enhancers_ensembl,False,False,154842,20000,True,original,-1,6,LR,0.7605,0.8402630000000001,0.764387604525332,16000,4000,0.5,0.5,0.2
human_enhancers_ensembl,False,False,154842,20000,True,original,-1,6,RF,0.73375,0.807249,0.739799657952602,16000,4000,0.5,0.5,0.2
human_enhancers_ensembl,False,False,154842,20000,True,random,0,4,LR,0.7105,0.7819069999999999,0.7110778443113772,16000,4000,0.5,0.5,0.2
human_enhancers_ensembl,False,False,154842,20000,True,random,0,4,RF,0.70225,0.7811097499999999,0.7027701522335912,16000,4000,0.5,0.5,0.2
human_enhancers_ensembl,False,False,154842,20000,True,random,0,6,LR,0.748,0.82260375,0.7497517378351539,16000,4000,0.5,0.5,0.2
human_enhancers_ensembl,False,False,154842,20000,True,random,0,6,RF,0.71825,0.7951672499999999,0.7184611541343991,16000,4000,0.5,0.5,0.2
human_enhancers_ensembl,False,False,154842,20000,True,random,1,4,LR,0.72075,0.7904315,0.722346507581407,16000,4000,0.5,0.5,0.2
human_enhancers_ensembl,False,False,154842,20000,True,random,1,4,RF,0.7085,0.7842655,0.7113861386138614,16000,4000,0.5,0.5,0.2
human_enhancers_ensembl,False,False,154842,20000,True,random,1,6,LR,0.75725,0.8387404999999999,0.7610140290425794,16000,4000,0.5,0.5,0.2
