dataset,scale,n_used,split_type,seed,k,model,accuracy,auroc,f1
demo_human_or_worm,subsample,20000,original,-1,6,LinearSVC,0.939,0.9845769600000001,0.9384708493040145
demo_human_or_worm,subsample,20000,original,-1,6,RF,0.9184,0.9738295199999999,0.918854415274463
demo_human_or_worm,subsample,20000,original,-1,6,HGB,0.9298,0.9802161600000001,0.9292196007259528
demo_human_or_worm,subsample,20000,random,0,6,LR,0.942,0.9859384,0.9414614452967299
demo_human_or_worm,subsample,20000,random,0,6,LinearSVC,0.9482,0.98702144,0.9476661951909476
demo_human_or_worm,subsample,20000,random,0,6,RF,0.9202,0.97574952,0.9212240868706811
demo_human_or_worm,subsample,20000,random,0,6,HGB,0.9344,0.98156192,0.9337908760597498
demo_human_or_worm,subsample,20000,random,1,6,LR,0.9424,0.9877383999999999,0.9417946645109135
demo_human_or_worm,subsample,20000,random,1,6,LinearSVC,0.9456,0.98787152,0.9451170298627926
demo_human_or_worm,subsample,20000,random,1,6,RF,0.9194,0.97603688,0.9205911330049261
demo_human_or_worm,subsample,20000,random,1,6,HGB,0.9272,0.9815096,0.927170868347339
demo_human_or_worm,subsample,20000,random,2,6,LR,0.946,0.98704288,0.945321992709599
demo_human_or_worm,subsample,20000,random,2,6,LinearSVC,0.9476,0.9882334399999999,0.947134786117837
demo_human_or_worm,subsample,20000,random,2,6,RF,0.923,0.97736728,0.9235048678720446
demo_human_or_worm,subsample,20000,random,2,6,HGB,0.9362,0.98349776,0.9356205852674067
demo_human_or_worm,subsample,20000,homology@0.7,0,6,LR,0.9408,0.98552448,0.9399106780349168
demo_human_or_worm,subsample,20000,homology@0.7,0,6,LinearSVC,0.9416,0.98632528,0.9411527609834744
demo_human_or_worm,subsample,20000,homology@0.7,0,6,RF,0.9228,0.9764106400000001,0.9238358326756116
demo_human_or_worm,subsample,20000,homology@0.7,0,6,HGB,0.9294,0.98114384,0.9289881311607322
demo_human_or_worm,subsample,20000,homology@0.7,1,6,LR,0.9416,0.9868872000000001,0.9407467532467533
