dataset,n_used,split_type,seed,k,model,accuracy,auroc,f1
demo_coding_vs_intergenomic_seqs,100000,random,2,6,LR,0.90108,0.9640781375999999,0.9014701780947448
demo_coding_vs_intergenomic_seqs,100000,random,2,6,RF,0.863,0.9433311679999999,0.8645977465902352
demo_coding_vs_intergenomic_seqs,100000,homology@0.7,0,4,LR,0.88632,0.9540765759999998,0.8870788302606485
demo_coding_vs_intergenomic_seqs,100000,homology@0.7,0,4,RF,0.87148,0.9454661567999998,0.8736978654821337
demo_coding_vs_intergenomic_seqs,100000,homology@0.7,0,6,LR,0.90204,0.965295904,0.9020047216998119
demo_coding_vs_intergenomic_seqs,100000,homology@0.7,0,6,RF,0.862,0.9406709919999999,0.8645039666954678
demo_coding_vs_intergenomic_seqs,100000,homology@0.7,1,4,LR,0.8842846286148554,0.9528086457083434,0.8852302931725314
demo_coding_vs_intergenomic_seqs,100000,homology@0.7,1,4,RF,0.8678452861885525,0.9433038636909048,0.8703703703703703
demo_coding_vs_intergenomic_seqs,100000,homology@0.7,1,6,LR,0.9012839486420543,0.9637645244380448,0.9016968055444914
demo_coding_vs_intergenomic_seqs,100000,homology@0.7,1,6,RF,0.8576056957721692,0.9389516358691304,0.8602935405384192
demo_coding_vs_intergenomic_seqs,100000,homology@0.7,2,4,LR,0.88204,0.9510504832,0.882925086347215
demo_coding_vs_intergenomic_seqs,100000,homology@0.7,2,4,RF,0.86848,0.9435182656,0.8712103407755581
demo_coding_vs_intergenomic_seqs,100000,homology@0.7,2,6,LR,0.90004,0.9635558719999999,0.9003310333825231
demo_coding_vs_intergenomic_seqs,100000,homology@0.7,2,6,RF,0.85992,0.9399368383999998,0.862353588554359
